iter	Passed	Remaining
0	0	80
1	1	87
2	2	85
3	3	81
4	5	97
5	6	104
6	7	97
7	8	92
8	8	87
9	9	82
10	9	78
11	10	79
12	11	78
13	12	77
14	13	77
15	14	76
16	15	74
17	15	72
18	16	71
19	17	71
20	19	72
21	20	72
22	21	70
23	21	69
24	22	68
25	24	69
26	25	68
27	26	68
28	29	71
29	35	82
30	37	83
31	38	81
32	40	82
33	42	83
34	52	96
35	53	95
36	54	93
37	56	91
38	58	91
39	64	96
40	67	96
41	69	95
42	71	94
43	73	92
44	77	95
45	78	92
46	78	88
47	79	85
48	80	83
49	81	81
50	82	79
51	83	77
52	84	74
53	84	72
54	88	72
55	89	70
56	90	68
57	92	66
58	92	64
59	94	62
60	96	61
61	99	61
62	100	59
63	102	57
64	104	56
65	106	54
66	107	53
67	113	53
68	114	51
69	117	50
70	118	48
71	120	46
72	121	44
73	122	43
74	124	41
75	128	40
76	129	38
77	132	37
78	139	37
79	141	35
80	142	33
81	142	31
82	143	29
83	144	27
84	147	25
85	152	24
86	155	23
87	156	21
88	157	19
89	157	17
90	158	15
91	158	13
92	158	11
93	159	10
94	161	8
95	161	6
96	167	5
97	168	3
98	170	1
99	171	0
