iter	RMSE
0	3057.381616
1	2985.400042
2	2918.07322
3	2853.197623
4	2787.435497
5	2724.175653
6	2663.557207
7	2605.365106
8	2548.917429
9	2493.466775
10	2439.727934
11	2390.943146
12	2341.972205
13	2297.228794
14	2251.603399
15	2206.48027
16	2168.823868
17	2127.199829
18	2089.226185
19	2052.260299
20	2014.253684
21	1983.141609
22	1949.562202
23	1914.85105
24	1884.518165
25	1853.846102
26	1824.72521
27	1795.829062
28	1768.250363
29	1743.159146
30	1718.616218
31	1692.987729
32	1668.657926
33	1645.565492
34	1624.15606
35	1603.320233
36	1584.696577
37	1564.956604
38	1546.059395
39	1529.737082
40	1513.266779
41	1498.045216
42	1482.239342
43	1469.451174
44	1455.327314
45	1442.726273
46	1431.204926
47	1419.745731
48	1408.790324
49	1398.205177
50	1388.130551
51	1378.505044
52	1368.137407
53	1358.127266
54	1348.613626
55	1340.613333
56	1333.659065
57	1326.538191
58	1319.173383
59	1311.037995
60	1304.112927
61	1298.55631
62	1291.964033
63	1285.729033
64	1280.67295
65	1274.993209
66	1269.94835
67	1265.453936
68	1260.294183
69	1255.208019
70	1250.91499
71	1246.308403
72	1242.791129
73	1238.482191
74	1235.135411
75	1232.0349
76	1228.351687
77	1225.023181
78	1222.330851
79	1219.372174
80	1217.057438
81	1214.444537
82	1211.984159
83	1208.401494
84	1206.172551
85	1204.058665
86	1201.341271
87	1199.209147
88	1197.665494
89	1194.763691
90	1192.920832
91	1191.236559
92	1189.622891
93	1186.793939
94	1185.117758
95	1183.677428
96	1182.855922
97	1181.498123
98	1180.032735
99	1179.132512
