iter	RMSE
0	1494.358162
1	1472.729158
2	1453.252151
3	1434.453517
4	1413.407834
5	1394.317395
6	1378.19694
7	1361.676873
8	1346.030055
9	1331.552924
10	1318.413954
11	1304.362575
12	1292.488225
13	1281.922629
14	1266.945822
15	1256.458062
16	1246.34518
17	1236.654193
18	1228.362958
19	1216.717446
20	1208.059727
21	1200.081846
22	1192.978849
23	1182.055738
24	1175.489009
25	1169.021092
26	1163.718372
27	1157.661325
28	1153.460977
29	1148.268766
30	1143.247142
31	1139.06415
32	1135.300325
33	1132.664743
34	1129.032445
35	1125.898837
36	1119.14612
37	1115.805792
38	1112.443932
39	1109.171649
40	1106.502779
41	1103.582051
42	1099.624878
43	1096.427681
44	1093.548277
45	1091.634134
46	1089.290936
47	1087.889012
48	1086.131881
49	1083.122822
50	1078.466019
51	1076.752135
52	1075.427002
53	1074.121055
54	1072.800592
55	1069.754629
56	1061.272808
57	1057.361289
58	1053.593529
59	1052.267816
60	1051.007761
61	1049.6675
62	1048.845235
63	1047.754087
64	1046.691915
65	1046.012078
66	1045.21715
67	1044.439873
68	1043.795651
69	1041.015771
70	1040.368853
71	1039.659216
72	1039.008528
73	1038.604193
74	1034.097533
75	1033.974836
76	1033.298771
77	1032.567543
78	1029.126691
79	1028.37598
80	1027.614828
81	1026.700038
82	1021.740198
83	1013.909318
84	1013.524094
85	1013.048307
86	1012.743219
87	1012.273781
88	1010.867346
89	1010.350565
90	1008.298144
91	1007.604526
92	1007.24876
93	1006.993377
94	999.284811
95	994.7269365
96	994.4227336
97	994.1053209
98	993.944362
99	993.7013996
100	993.0142786
101	992.2670081
102	991.8446178
103	991.5578399
104	991.3383603
105	990.201107
106	982.6885436
107	981.9495642
108	981.6680133
109	981.384394
110	979.6374181
111	979.2556063
112	979.0052621
113	978.5824878
114	978.0451992
115	977.8696228
116	977.5341818
117	977.4969303
118	977.2998803
119	977.0116833
120	974.5290776
121	974.3934888
122	967.1218843
123	966.8583622
124	966.7149649
125	966.353849
126	966.0712652
127	963.6642084
128	963.4843765
129	963.1207309
130	957.9482856
131	957.5554033
132	956.9708975
133	954.0972334
134	954.0266418
135	953.8364663
136	953.6320563
137	953.56961
138	953.5074032
139	953.4487272
140	952.7362903
141	945.5636009
142	945.2330463
143	944.761471
144	944.6480713
145	944.09968
146	943.9951377
147	939.1306852
148	937.3932814
149	937.1371516
150	933.5982033
151	933.1197469
152	932.8684743
153	927.4649856
154	920.5579396
155	916.7113304
156	910.0296931
157	903.3073547
158	899.0903601
159	898.975714
160	892.6587474
161	892.6026135
162	889.6451361
163	889.3576674
164	883.1018177
165	876.9187047
166	876.0088775
167	875.904835
168	875.8578607
169	875.0910679
170	871.2246645
171	870.4284839
172	868.3061098
173	868.1623719
174	867.7691063
175	867.2694486
176	861.1532588
177	860.7447575
178	854.931406
179	854.5617657
180	854.0607153
181	853.1845147
182	847.3870771
183	846.7196289
184	846.4668868
185	846.0216373
186	844.581959
187	844.4969645
188	843.7951375
189	843.0372154
190	842.5706979
191	836.7523487
192	831.0349408
193	830.9765377
194	830.2993032
195	829.7357029
