iter	Passed	Remaining
0	40	38458
1	41	19872
2	43	13732
3	45	10695
4	47	8909
5	48	7656
6	50	6757
7	51	6088
8	53	5567
9	54	5143
10	55	4767
11	57	4481
12	58	4238
13	60	4027
14	61	3852
15	63	3696
16	64	3560
17	66	3439
18	67	3328
19	69	3227
20	71	3141
21	72	3056
22	73	2980
23	75	2911
24	76	2845
25	78	2783
26	79	2706
27	80	2653
28	82	2628
29	84	2586
30	85	2544
31	87	2506
32	88	2468
33	90	2435
34	92	2419
35	94	2397
36	96	2370
37	97	2349
38	99	2322
39	101	2302
40	102	2280
41	104	2259
42	106	2237
43	107	2217
44	109	2198
45	110	2179
46	112	2160
47	114	2151
48	116	2136
49	118	2125
50	120	2118
51	121	2103
52	123	2089
53	125	2075
54	126	2061
55	128	2047
56	129	2034
57	131	2023
58	133	2010
59	134	2000
60	136	1988
61	138	1977
62	139	1966
63	141	1954
64	142	1943
65	144	1931
66	145	1919
67	146	1903
68	148	1892
69	149	1882
70	151	1872
71	152	1864
72	154	1855
73	155	1845
74	157	1835
75	157	1816
76	160	1822
77	162	1813
78	164	1810
79	165	1802
80	167	1795
81	168	1787
82	170	1781
83	172	1774
84	173	1767
85	175	1760
86	176	1752
87	178	1744
88	179	1737
89	181	1729
90	182	1722
91	183	1715
92	185	1708
93	186	1694
94	187	1687
95	189	1681
96	190	1671
97	191	1664
98	192	1658
99	193	1648
100	195	1642
101	196	1636
102	198	1630
103	199	1622
104	200	1617
105	202	1611
106	204	1608
107	205	1603
108	207	1597
109	208	1589
110	209	1584
111	211	1579
112	212	1574
113	213	1569
114	215	1564
115	216	1556
116	217	1551
117	218	1540
118	219	1533
119	221	1528
120	222	1524
121	223	1519
122	225	1515
123	226	1511
124	228	1506
125	229	1502
126	231	1498
127	232	1494
128	234	1490
129	235	1486
130	237	1483
131	238	1479
132	240	1475
133	241	1471
134	243	1467
135	244	1462
136	245	1458
137	246	1451
138	247	1444
139	248	1437
140	249	1434
141	251	1430
142	252	1427
143	254	1423
144	255	1420
145	257	1416
146	257	1408
147	259	1405
148	260	1402
149	262	1399
150	263	1395
151	265	1392
152	266	1389
153	268	1386
154	269	1382
155	271	1379
156	272	1376
157	274	1374
158	275	1371
159	276	1365
160	277	1362
161	278	1356
162	280	1353
163	281	1350
164	283	1348
165	284	1345
166	286	1342
167	287	1339
168	289	1337
169	290	1334
170	292	1332
171	293	1329
172	295	1326
173	296	1323
174	298	1321
175	299	1318
176	301	1315
177	302	1313
178	304	1310
179	305	1308
180	307	1306
181	308	1303
182	310	1301
183	312	1301
184	314	1299
185	315	1296
186	317	1293
187	317	1288
188	319	1286
189	320	1283
190	322	1281
191	323	1278
192	325	1276
193	326	1273
194	328	1270
195	329	1268
196	331	1265
197	332	1263
198	334	1260
199	335	1258
200	336	1255
201	338	1253
202	339	1250
203	341	1248
204	342	1242
205	343	1240
206	344	1238
207	346	1235
208	347	1233
209	349	1230
210	350	1228
211	352	1226
212	353	1223
213	355	1221
214	356	1218
215	357	1216
216	359	1214
217	360	1211
218	362	1209
219	363	1207
220	365	1204
221	366	1202
222	368	1200
223	371	1204
224	373	1202
225	374	1199
226	376	1197
227	377	1195
228	378	1193
229	380	1190
230	381	1188
231	383	1187
232	385	1185
233	387	1184
234	388	1182
235	390	1181
236	392	1179
237	393	1178
238	395	1176
239	397	1174
240	398	1173
241	400	1171
242	402	1170
243	404	1168
244	405	1167
245	407	1165
246	408	1163
247	410	1161
248	411	1159
249	413	1157
250	414	1155
251	416	1153
252	417	1151
253	419	1148
254	420	1146
255	422	1144
256	423	1142
257	425	1140
258	426	1138
259	428	1136
260	429	1134
261	431	1132
262	432	1130
263	434	1128
264	435	1126
265	437	1123
266	438	1121
267	440	1119
268	441	1117
269	442	1115
270	444	1113
271	445	1111
272	447	1109
273	448	1107
274	450	1105
275	451	1103
276	453	1101
277	455	1099
278	456	1098
279	458	1096
280	459	1094
281	461	1092
282	462	1091
283	464	1089
284	466	1087
285	467	1085
286	469	1083
287	470	1082
288	472	1080
289	473	1078
290	475	1076
291	477	1074
292	478	1072
293	479	1070
294	481	1069
295	483	1067
296	484	1065
297	486	1063
298	487	1062
299	489	1060
300	490	1058
301	492	1056
302	493	1054
303	495	1052
304	496	1050
305	498	1048
306	499	1047
307	501	1045
308	502	1043
309	504	1041
310	506	1039
311	507	1037
312	509	1035
313	510	1034
314	512	1032
315	513	1030
316	516	1030
317	517	1028
318	519	1026
319	520	1024
320	522	1023
321	523	1021
322	525	1019
323	526	1017
324	527	1015
325	529	1013
326	530	1011
327	532	1009
328	533	1007
329	535	1005
330	536	1003
331	538	1001
332	539	1000
333	541	998
334	542	996
335	544	994
336	545	992
337	547	991
338	548	989
339	550	987
340	551	985
341	553	983
342	554	981
343	556	979
344	557	977
345	558	975
346	560	973
347	561	971
348	566	975
349	568	974
350	569	972
351	571	970
352	572	968
353	574	966
354	575	964
355	576	962
356	578	960
357	579	958
358	581	956
359	582	955
360	584	953
361	585	951
362	587	949
363	588	947
364	589	945
365	591	943
366	592	941
367	594	939
368	595	937
369	597	936
370	598	934
371	600	932
372	601	930
373	602	928
374	604	926
375	605	924
376	607	922
377	608	921
378	610	919
379	611	917
380	613	915
381	614	913
382	615	911
383	617	910
384	618	908
385	620	906
386	621	904
387	623	902
388	624	900
389	626	899
390	627	897
391	629	895
392	630	893
393	631	891
394	633	889
395	634	888
396	636	886
397	638	884
398	639	883
399	641	881
400	642	880
401	644	878
402	645	876
403	647	874
404	648	873
405	650	871
406	652	869
407	653	868
408	655	866
409	656	865
410	658	863
411	660	862
412	661	860
413	663	858
414	664	857
415	666	855
416	667	853
417	669	851
418	671	850
419	673	849
420	675	849
421	680	851
422	682	849
423	683	848
424	685	846
425	687	845
426	689	844
427	691	843
428	693	841
429	695	840
430	696	838
431	698	837
432	699	835
433	701	833
434	702	831
435	704	830
436	705	828
437	707	826
438	708	824
439	709	822
440	711	821
441	712	819
442	714	817
443	715	815
444	717	814
445	718	812
446	720	810
447	721	808
448	723	806
449	724	805
450	726	803
451	727	801
452	729	800
453	730	798
454	732	796
455	733	794
456	735	792
457	736	791
458	738	789
459	739	788
460	741	786
461	743	784
462	744	783
463	746	781
464	747	779
465	749	778
466	750	776
467	752	774
468	753	773
469	755	771
470	756	769
471	758	767
472	762	769
473	764	767
474	765	765
475	767	763
476	768	762
477	770	761
478	772	759
479	774	758
480	778	758
481	780	758
482	782	756
483	789	759
484	793	760
485	796	759
486	797	758
487	799	756
488	801	755
489	803	754
490	804	752
491	806	750
492	807	748
493	809	746
494	810	745
495	812	743
496	813	741
497	815	739
498	817	738
499	818	736
500	836	749
501	838	748
502	839	746
503	841	744
504	842	742
505	851	747
506	853	745
507	854	743
508	856	742
509	858	740
510	859	738
511	863	738
512	865	737
513	867	735
514	868	733
515	870	732
516	871	730
517	874	729
518	875	727
519	879	727
520	880	725
521	882	723
522	883	721
523	885	719
524	886	717
525	888	716
526	890	714
527	894	714
528	895	713
529	897	711
530	899	709
531	900	707
532	902	705
533	904	704
534	905	702
535	908	701
536	910	700
537	912	698
538	913	696
539	915	695
540	917	693
541	919	692
542	921	690
543	923	689
544	925	687
545	927	686
546	928	684
547	930	682
548	932	681
549	934	679
550	937	678
551	939	677
552	940	675
553	942	673
554	943	671
555	945	669
556	947	668
557	949	666
558	951	665
559	953	663
560	954	662
561	956	660
562	957	658
563	959	656
564	960	654
565	962	653
566	964	651
567	966	650
568	968	648
569	969	646
570	971	644
571	972	642
572	974	641
573	975	639
574	978	637
575	979	636
576	982	635
577	984	633
578	986	631
579	987	630
580	989	628
581	990	626
582	992	624
583	994	623
584	997	622
585	999	620
586	1001	619
587	1002	617
588	1004	615
589	1005	613
590	1008	612
591	1011	611
592	1014	610
593	1015	608
594	1017	606
595	1018	605
596	1020	603
597	1022	601
598	1024	600
599	1028	599
600	1030	598
601	1031	596
602	1033	594
603	1034	592
604	1036	590
605	1039	589
606	1041	588
607	1044	587
608	1045	585
609	1047	583
610	1049	582
611	1050	580
612	1052	578
613	1054	577
614	1057	575
615	1060	574
616	1061	572
617	1063	571
618	1064	569
619	1066	567
620	1067	565
621	1069	564
622	1071	562
623	1073	560
624	1076	559
625	1077	557
626	1079	556
627	1081	554
628	1083	552
629	1086	551
630	1088	550
631	1091	549
632	1093	547
633	1095	545
634	1096	544
635	1098	542
636	1099	540
637	1101	538
638	1103	537
639	1105	535
640	1107	533
641	1108	531
642	1110	530
643	1111	528
644	1113	526
645	1114	524
646	1116	522
647	1118	521
648	1120	519
649	1122	517
650	1123	516
651	1125	514
652	1126	512
653	1127	510
654	1129	508
655	1131	506
656	1133	505
657	1135	503
658	1137	502
659	1138	500
660	1140	498
661	1141	496
662	1143	495
663	1145	493
664	1147	491
665	1149	490
666	1151	488
667	1152	486
668	1154	484
669	1155	483
670	1157	481
671	1158	479
672	1160	477
673	1162	476
674	1164	474
675	1166	472
676	1167	470
677	1169	469
678	1170	467
679	1172	465
680	1173	463
681	1175	461
682	1177	460
683	1179	458
684	1181	457
685	1182	455
686	1184	453
687	1185	451
688	1187	449
689	1188	447
690	1190	446
691	1192	444
692	1194	442
693	1196	441
694	1197	439
695	1199	437
696	1200	435
697	1202	434
698	1203	432
699	1205	430
700	1207	428
701	1209	427
702	1211	425
703	1212	423
704	1214	421
705	1215	420
706	1216	418
707	1218	416
708	1220	414
709	1222	413
710	1224	411
711	1226	409
712	1227	408
713	1229	406
714	1230	404
715	1232	402
716	1233	400
717	1235	399
718	1237	397
719	1238	395
720	1240	393
721	1241	392
722	1243	390
723	1244	388
724	1246	386
725	1247	384
726	1248	383
727	1250	381
728	1252	379
729	1253	377
730	1255	376
731	1256	374
732	1258	372
